,MBID,#1 Most Used Bpm,Percentage of 1st,#2 Most Used Bpm,Percentage of 2nd,Total # Duplicates
767,c30faedd-630b-48ea-9187-2ee737c310de,178.0,94.7368421053,90.0,5.263157894736842,38
768,c365b35c-4f30-44bf-9fc9-0dff8c1c8f1a,77.0,76.1904761905,89.0,14.285714285714285,42
769,c3726adf-6366-4c12-b775-0f5b7e0ea1fa,124.0,100.0,Nan,Nan,48
770,c3823516-739c-4697-933b-f7f260e9aa60,110.0,71.1111111111,117.0,13.333333333333334,45
771,c3ace904-a6bd-4e70-b550-c88785610ef9,70.0,90.625,104.0,3.125,32
772,c3c53dbe-2ec4-461e-86b0-a669e64e029f,132.0,100.0,Nan,Nan,34
773,c3fe2b67-a715-42c7-9e3c-2e353620a11d,150.0,100.0,Nan,Nan,37
774,c43be73a-f8d6-4587-b8c4-6f653541782a,155.0,79.4871794872,Nan,Nan,78
775,c459d5fc-2be7-46d0-9565-b6caa6c626a7,163.0,100.0,Nan,Nan,40
776,c4b618c1-9507-4238-8e13-657286547b09,133.0,100.0,Nan,Nan,32
777,c535fd18-6076-4fde-ab62-0251ce50d6ce,125.0,100.0,Nan,Nan,34
778,c5659cc0-b86b-4e2f-95f3-8d55b0d1e672,140.0,100.0,Nan,Nan,38
779,c59758a1-940c-409d-9a0d-bde97048d5ad,93.0,100.0,Nan,Nan,35
780,c5da2d84-c7d2-4bee-9416-a94394b11af1,106.0,97.5,Nan,Nan,40
781,c602d9e8-0c5d-431e-a7aa-ed760b7677ac,143.0,90.625,107.0,6.25,32
782,c6111171-bb92-4401-9053-f165863547f2,115.0,100.0,Nan,Nan,34
783,c671a7e3-dd6e-4d38-a96d-f30bcafe7dd5,95.0,100.0,Nan,Nan,32
784,c6ddba3b-a1a4-40a5-b686-b040ba536f24,98.0,100.0,Nan,Nan,35
785,c6e61ed4-a23a-4023-a7bd-c8bba1fd8d16,156.0,72.7272727273,162.0,27.27272727272727,33
786,c7225576-001e-423c-adc1-58f0985dcb27,88.0,100.0,Nan,Nan,37
787,c7492f6e-adf3-4ff5-85dc-33d527dc81d8,155.0,72.0930232558,152.0,11.627906976744185,43
788,c7580771-2c10-43dc-8833-1da0d46980f0,91.0,100.0,Nan,Nan,41
789,c7baf0bc-77ed-454e-92a0-687f6b70d612,164.0,94.4444444444,Nan,Nan,36
790,c7c25302-69ab-4a9d-b967-23cbc6793854,84.0,100.0,Nan,Nan,33
791,c84e23aa-20d9-45df-85cb-a6ecdba6e44e,107.0,93.2203389831,75.0,5.084745762711865,59
792,c9b373a4-99cd-41c5-ab97-582a0906e304,134.0,72.0930232558,Nan,Nan,43
793,c9bf13e6-619e-4cca-ae0f-512e9a478930,126.0,88.8888888889,Nan,Nan,81
794,ca039778-ff30-4af7-a558-84c8746924bc,167.0,62.7118644068,Nan,Nan,59
795,cac27da9-20c5-4722-9a25-f2c26e2c04cf,100.0,100.0,Nan,Nan,38
796,cad2c4c2-15fc-457f-8389-a3fa7113d2ae,113.0,100.0,Nan,Nan,37
797,cb704029-adf6-408f-b91b-6883df02540a,98.0,100.0,Nan,Nan,33
798,cb705a26-1de8-447f-af40-e6bf0e66e976,166.0,93.9393939394,Nan,Nan,33
799,cbcc02d0-c72f-446f-9c6d-9a313b742acc,157.0,47.0588235294,162.0,35.294117647058826,34
800,cbec6fa8-a950-471d-b92e-f0c39255f488,151.0,100.0,Nan,Nan,39
801,cc480502-bfe8-4bd5-b98b-feba018698f0,124.0,96.875,Nan,Nan,32
802,cce551a1-5a6c-494b-89fe-6dfac5e8aed1,137.0,84.2105263158,Nan,Nan,76
803,ccfdd180-22e1-49b9-bd81-b5fcf2c6474e,127.0,97.1428571429,Nan,Nan,35
804,cd3f5efa-bc5e-4064-a765-960494ad4bb4,165.0,100.0,Nan,Nan,54
805,cd7c7fc6-c8dc-4b3e-8ae7-b92bb301bb3b,162.0,97.5609756098,Nan,Nan,41
806,cd80145d-f897-4469-a7d5-cedc6d83b816,89.0,100.0,Nan,Nan,33
807,ce0b1b14-7d53-4a06-ae05-a4a34903e73d,133.0,91.3793103448,Nan,Nan,58
808,ce495790-b2f7-4ff0-858c-8df38c2025ab,145.0,100.0,Nan,Nan,39
809,cf147cd0-8e0a-43ee-82f1-cc3fbe666d88,104.0,100.0,Nan,Nan,36
810,cf61eb88-be62-494c-badc-0a27d8d10736,172.0,92.1052631579,163.0,5.263157894736842,38
811,cf6af080-1bc0-4a82-90c9-0ecb7e9e4ec4,132.0,100.0,Nan,Nan,34
812,cf9053d1-d116-407e-a989-1f30abd6702c,116.0,100.0,Nan,Nan,34
813,cfc2fb95-2fc0-4129-acf3-5a5dfb9bceef,166.0,65.2173913043,84.0,34.78260869565217,46
814,d002ad96-7eac-4ca5-9b45-d89b8c7f15ee,105.0,94.1176470588,Nan,Nan,51
815,d057c75d-04eb-438f-be0b-74f629f2953c,185.0,100.0,Nan,Nan,34
816,d07057c1-312b-4a7e-b129-dd7383539f57,151.0,92.4050632911,0.0,3.79746835443038,79
817,d0769eb3-ca35-4aab-aa45-ecedee55250b,150.0,100.0,Nan,Nan,39
818,d0c234bd-cfdc-4f73-a19f-67c4be0dc071,132.0,100.0,Nan,Nan,36
819,d0c3da1f-8b6e-4419-ae1a-3de4b5bf9d4f,120.0,100.0,Nan,Nan,34
820,d15ba2bd-f227-415f-9c8a-4245a51a6d8f,116.0,100.0,Nan,Nan,33
821,d1ae4cbd-805e-4bc6-a169-5b70a64e4253,110.0,100.0,Nan,Nan,50
822,d1e0a99e-1894-457b-ba6a-985eeef4d0c4,92.0,89.7435897436,Nan,Nan,39
823,d201070b-ff15-49ce-877b-f91032617faf,108.0,100.0,Nan,Nan,56
824,d244cc78-53af-4024-b743-4b2387dc55e0,164.0,91.1764705882,Nan,Nan,34
825,d2462188-1609-4945-b816-8b026d1a2332,136.0,100.0,Nan,Nan,45
826,d2df9667-1ea7-4e0e-b68a-3b3d8aa66224,137.0,100.0,Nan,Nan,33
